Station Name,LID,Modes of Transports
"Leudelange, Kamellebierg","A=1@O=Leudelange, Kamellebierg@X=6063062@Y=49570538@U=82@L=220701009@",32
"Bertrange, Montereale","A=1@O=Bertrange, Montereale@X=6063952@Y=49609830@U=82@L=200101012@",32
"Strassen, Chapelle","A=1@O=Strassen, Chapelle@X=6064015@Y=49618649@U=82@L=200901008@",32
"Leudelange, Wäschbur","A=1@O=Leudelange, Wäschbur@X=6064411@Y=49566970@U=82@L=220701016@",32
"Bertrange, City Concorde","A=1@O=Bertrange, City Concorde@X=6065606@Y=49600652@U=82@L=200102002@",32
"Leudelange, Gruef","A=1@O=Leudelange, Gruef@X=6065669@Y=49562889@U=82@L=220701008@",32
"Leudelange, Beetebuergerwee","A=1@O=Leudelange, Beetebuergerwee@X=6066101@Y=49562053@U=82@L=220701001@",32
"Strassen, Kesseler","A=1@O=Strassen, Kesseler@X=6066451@Y=49621013@U=82@L=200901017@",32
"Roodt/Bour, Bréck","A=1@O=Roodt/Bour, Bréck@X=6000614@Y=49694365@U=82@L=190507001@",32
"Tuntange, Sëllerstrooss","A=1@O=Tuntange, Sëllerstrooss@X=6003590@Y=49720164@U=82@L=160206004@",32
"Nospelt, Beim Gliesener","A=1@O=Nospelt, Beim Gliesener@X=6005199@Y=49673708@U=82@L=190605001@",32
"Tuntange, Al Schoul","A=1@O=Tuntange, Al Schoul@X=6008830@Y=49718420@U=82@L=160206006@",32
"Nospelt, Pompjeesbau","A=1@O=Nospelt, Pompjeesbau@X=6008866@Y=49673285@U=82@L=190605003@",32
"Tuntange, Kiirch","A=1@O=Tuntange, Kiirch@X=6008938@Y=49717701@U=82@L=160206002@",32
"Tuntange, Duerf","A=1@O=Tuntange, Duerf@X=6009639@Y=49716739@U=82@L=160206001@",32
"Buschdorf, Belle Vue","A=1@O=Buschdorf, Belle Vue@X=6010170@Y=49746718@U=82@L=160203001@",32
"Tuntange, Gemeng","A=1@O=Tuntange, Gemeng@X=6010574@Y=49718051@U=82@L=160206008@",32
"Nospelt, Kräizhiel","A=1@O=Nospelt, Kräizhiel@X=6011275@Y=49672413@U=82@L=190605002@",32
"Kehlen, Zone Industrielle 3","A=1@O=Kehlen, Zone Industrielle 3@X=6012165@Y=49664314@U=82@L=190602006@",32
"Tuntange, Weisserchen","A=1@O=Tuntange, Weisserchen@X=6012732@Y=49713161@U=82@L=160206005@",32
"Kehlen, Zone Industrielle 2","A=1@O=Kehlen, Zone Industrielle 2@X=6014206@Y=49662426@U=82@L=190602010@",32
"Tuntange, Knupp","A=1@O=Tuntange, Knupp@X=6016058@Y=49716433@U=82@L=160206003@",32
"Brouch (Mersch), Kneppchen","A=1@O=Brouch (Mersch), Kneppchen@X=6017065@Y=49741882@U=82@L=160202003@",32
"Bour, Bour","A=1@O=Bour, Bour@X=6017757@Y=49701035@U=82@L=161109001@",32
"Kehlen, Zone Industrielle 1","A=1@O=Kehlen, Zone Industrielle 1@X=6018898@Y=49663136@U=82@L=190602009@",32
"Brouch (Mersch), Kiercheplaz","A=1@O=Brouch (Mersch), Kiercheplaz@X=6020310@Y=49735194@U=82@L=160202001@",32
"Dondelange, Pompstatioun","A=1@O=Dondelange, Pompstatioun@X=6025146@Y=49695488@U=82@L=190601002@",32
"Kehlen, Um Ënneschte Buer","A=1@O=Kehlen, Um Ënneschte Buer@X=6029434@Y=49667622@U=82@L=190602002@",32
"Dondelange, Dondel","A=1@O=Dondelange, Dondel@X=6029937@Y=49687928@U=82@L=190601001@",32
"Brouch (Mersch), Kloeppel","A=1@O=Brouch (Mersch), Kloeppel@X=6030602@Y=49738798@U=82@L=160202002@",32
"Kehlen, Bei Fiewer","A=1@O=Kehlen, Bei Fiewer@X=6034405@Y=49667514@U=82@L=190602001@",32
"Kehlen, Op der Héicht","A=1@O=Kehlen, Op der Héicht@X=6035043@Y=49666004@U=82@L=190602003@",32
"Kehlen, Schaarfeneck","A=1@O=Kehlen, Schaarfeneck@X=6035888@Y=49670759@U=82@L=190602004@",32
"Kehlen, Um Knapp","A=1@O=Kehlen, Um Knapp@X=6038585@Y=49667379@U=82@L=190602005@",32
"Ansembourg, Kapell","A=1@O=Ansembourg, Kapell@X=6040751@Y=49702320@U=82@L=160208001@",32
"Kehlen, Katterwang","A=1@O=Kehlen, Katterwang@X=6044769@Y=49678364@U=82@L=190602011@",32
"Hollenfels, Schoul","A=1@O=Hollenfels, Schoul@X=6048140@Y=49712694@U=82@L=160210001@",32
"Hollenfels, Veräinsbau","A=1@O=Hollenfels, Veräinsbau@X=6050531@Y=49714689@U=82@L=160210002@",32
"Meispelt, Bei Mëllesch","A=1@O=Meispelt, Bei Mëllesch@X=6055709@Y=49690059@U=82@L=190604001@",32
"Meispelt, Kräizwee","A=1@O=Meispelt, Kräizwee@X=6058019@Y=49685960@U=82@L=190604002@",32
Marienthal,A=1@O=Marienthal@X=6058981@Y=49710204@U=82@L=160207001@,32
"Meispelt, Kuesselt","A=1@O=Meispelt, Kuesselt@X=6060725@Y=49692144@U=82@L=190604003@",32
"Hollenfels, Kuelbecherhaff","A=1@O=Hollenfels, Kuelbecherhaff@X=6062244@Y=49717782@U=82@L=160211001@",32
"Keispelt, Spellen Eck","A=1@O=Keispelt, Spellen Eck@X=6066469@Y=49694922@U=82@L=190603002@",32
"Keispelt, Bei Péickes","A=1@O=Keispelt, Bei Péickes@X=6067566@Y=49693439@U=82@L=190603001@",32
"Vichten, Ohligsfeld","A=1@O=Vichten, Ohligsfeld@X=6001972@Y=49802550@U=82@L=150902006@",32
"Mertzig, Eglise","A=1@O=Mertzig, Eglise@X=6002880@Y=49831945@U=82@L=141101003@",32
"Mertzig, Gemeng","A=1@O=Mertzig, Gemeng@X=6005630@Y=49833167@U=82@L=141101005@",32
"Buschdorf, Määschhaff","A=1@O=Buschdorf, Määschhaff@X=6006880@Y=49750215@U=82@L=160203003@",32
"Vichten, Hemeschbaach","A=1@O=Vichten, Hemeschbaach@X=6007392@Y=49801426@U=82@L=150902005@",32
"Boevange, Gare","A=1@O=Boevange, Gare@X=6008183@Y=49774800@U=82@L=160201003@",32
"Boevange, Uerbelt","A=1@O=Boevange, Uerbelt@X=6008938@Y=49774638@U=82@L=160201006@",32
"Mertzig, Internat","A=1@O=Mertzig, Internat@X=6009118@Y=49834722@U=82@L=141101004@",32
"Boevange, Helpert","A=1@O=Boevange, Helpert@X=6011060@Y=49774890@U=82@L=160201004@",32
"Buschdorf, Helpërtwee","A=1@O=Buschdorf, Helpërtwee@X=6012174@Y=49751150@U=82@L=160203002@",32
"Boevange-sur-Attert, prov. Rue de Helpert","A=1@O=Boevange-sur-Attert, prov. Rue de Helpert@X=6013487@Y=49775403@U=82@L=160201008@",32
"Boevange-sur-Attert, Millen","A=1@O=Boevange-sur-Attert, Millen@X=6014557@Y=49777164@U=82@L=160201002@",32
"Boevange, Lëtschert","A=1@O=Boevange, Lëtschert@X=6017793@Y=49773191@U=82@L=160201005@",32
Michelbouch,A=1@O=Michelbouch@X=6018719@Y=49818749@U=82@L=150901001@,32
"Boevange, Beim Wald","A=1@O=Boevange, Beim Wald@X=6020489@Y=49772023@U=82@L=160201007@",32
"Grevenknapp, Um ënnschte Knapp","A=1@O=Grevenknapp, Um ënnschte Knapp@X=6028220@Y=49765595@U=82@L=160205003@",32
"Grevenknapp, Riesenhaff","A=1@O=Grevenknapp, Riesenhaff@X=6031816@Y=49762809@U=82@L=160205002@",32
Openthalt,A=1@O=Openthalt@X=6035447@Y=49751060@U=82@L=160204002@,32
"Openthalt, Finsterthal","A=1@O=Openthalt, Finsterthal@X=6035645@Y=49753972@U=82@L=160204001@",32
"Reckange/Mersch, Barriär","A=1@O=Reckange/Mersch, Barriär@X=6052383@Y=49748237@U=82@L=160907001@",32
"Bissen, Um Sand","A=1@O=Bissen, Um Sand@X=6059601@Y=49787475@U=82@L=160101008@",32
"Bissen, Kräizung","A=1@O=Bissen, Kräizung@X=6063260@Y=49789102@U=82@L=160101002@",32
"Bissen, Henckels","A=1@O=Bissen, Henckels@X=6064608@Y=49789650@U=82@L=160101006@",32
"Bissen, Kiirch","A=1@O=Bissen, Kiirch@X=6066613@Y=49787691@U=82@L=160101004@",32
"Bockholtz (Goesdorf), Op der Millen","A=1@O=Bockholtz (Goesdorf), Op der Millen@X=6006367@Y=49926511@U=82@L=120401002@",32
"Ringel, Ringel","A=1@O=Ringel, Ringel@X=6010790@Y=49915832@U=82@L=120506001@",32
"Masseler, Op der Houscht","A=1@O=Masseler, Op der Houscht@X=6018512@Y=49934017@U=82@L=120405002@",32
"Oberfeulen, route d'Arlon","A=1@O=Oberfeulen, route d'Arlon@X=6030045@Y=49846094@U=82@L=140802002@",32
"Dirbach, Bifurcation","A=1@O=Dirbach, Bifurcation@X=6030827@Y=49921019@U=82@L=120513001@",32
"Dirbach, Village","A=1@O=Dirbach, Village@X=6033191@Y=49920399@U=82@L=120513002@",32
"Oberfeulen, Place de la Chapelle","A=1@O=Oberfeulen, Place de la Chapelle@X=6034099@Y=49847145@U=82@L=140802001@",32
"Masseler, Masseler","A=1@O=Masseler, Masseler@X=6034791@Y=49930053@U=82@L=120405001@",32
"Oberfeulen, Op Hopericht","A=1@O=Oberfeulen, Op Hopericht@X=6036095@Y=49849006@U=82@L=140802003@",32
"Kehmen, Bei der Kiirch","A=1@O=Kehmen, Bei der Kiirch@X=6036391@Y=49899885@U=82@L=140305001@",32
"Niederfeulen, Atelier","A=1@O=Niederfeulen, Atelier@X=6037857@Y=49857312@U=82@L=140801005@",32
"Niederfeulen, Belle Vue","A=1@O=Niederfeulen, Belle Vue@X=6043448@Y=49854795@U=82@L=140801001@",32
"Niederfeulen, route d'Arlon","A=1@O=Niederfeulen, route d'Arlon@X=6044050@Y=49854310@U=82@L=140801004@",32
"Scheidel, Hengesch","A=1@O=Scheidel, Hengesch@X=6044329@Y=49893161@U=82@L=140308001@",32
"Niederfeulen, Mairie","A=1@O=Niederfeulen, Mairie@X=6045749@Y=49854040@U=82@L=140801003@",32
"Niederfeulen, Faubourg","A=1@O=Niederfeulen, Faubourg@X=6051116@Y=49852476@U=82@L=140801002@",32
"Goebelsmühle, Op der Gare","A=1@O=Goebelsmühle, Op der Gare@X=6053129@Y=49921333@U=82@L=140304001@",32
"Goebelsmühle, Gare","A=1@O=Goebelsmühle, Gare@X=6053426@Y=49921145@U=82@L=140304002@",6
"Goebelsmühle, Op der Gafel","A=1@O=Goebelsmühle, Op der Gafel@X=6056284@Y=49920524@U=82@L=140304003@",32
"Schlindermanderscheid, An der Driicht","A=1@O=Schlindermanderscheid, An der Driicht@X=6056518@Y=49934350@U=82@L=140309003@",32
"Welscheid, Bei der Bréck","A=1@O=Welscheid, Bei der Bréck@X=6060015@Y=49886860@U=82@L=140310001@",32
"Bourscheid, Bei Meesch","A=1@O=Bourscheid, Bei Meesch@X=6060375@Y=49907661@U=82@L=140301002@",32
"Schlindermanderscheid, Kiirch","A=1@O=Schlindermanderscheid, Kiirch@X=6061435@Y=49932965@U=82@L=140309002@",32
"Schlindermanderscheid, Bei Zäichens","A=1@O=Schlindermanderscheid, Bei Zäichens@X=6061489@Y=49931266@U=82@L=140309001@",32
"Bourscheid, Bei der Kiirch","A=1@O=Bourscheid, Bei der Kiirch@X=6064276@Y=49909872@U=82@L=140301001@",32
"Welscheid, Jongerts","A=1@O=Welscheid, Jongerts@X=6065885@Y=49887255@U=82@L=140310002@",32
"Wilwerwiltz, Gare","A=1@O=Wilwerwiltz, Gare@X=6000542@Y=49988456@U=82@L=120606005@",6
"Wilwerwiltz, Gare routière","A=1@O=Wilwerwiltz, Gare routière@X=6001082@Y=49988429@U=82@L=120606001@",32
"Drauffelt, Op der Léi","A=1@O=Drauffelt, Op der Léi@X=6001315@Y=50015181@U=82@L=110109003@",32
"Alscheid, Haut","A=1@O=Alscheid, Haut@X=6005352@Y=49969659@U=82@L=120601001@",32
"Drauffelt, Gare routière","A=1@O=Drauffelt, Gare routière@X=6006808@Y=50017338@U=82@L=110109002@",32
"Drauffelt, Gare","A=1@O=Drauffelt, Gare@X=6007185@Y=50016898@U=82@L=110109004@",6
"Drauffelt, Park & Rail","A=1@O=Drauffelt, Park *26 Rail@X=6007743@Y=50016898@U=82@L=110109005@",32
"Alscheid, Village","A=1@O=Alscheid, Village@X=6007788@Y=49970190@U=82@L=120601002@",32
"Wilwerwiltz, Tomm","A=1@O=Wilwerwiltz, Tomm@X=6007860@Y=49986784@U=82@L=120606002@",32
"Alscheid, Schoulbierg","A=1@O=Alscheid, Schoulbierg@X=6010197@Y=49970163@U=82@L=120601003@",32
"Pintsch, An der Kéier","A=1@O=Pintsch, An der Kéier@X=6010466@Y=49992870@U=82@L=120605001@",32
"Kautenbach, Am Duerf","A=1@O=Kautenbach, Am Duerf@X=6016768@Y=49951717@U=82@L=120603001@",32
"Kautenbach, Gare routière","A=1@O=Kautenbach, Gare routière@X=6021424@Y=49949218@U=82@L=120603002@",32
"Kautenbach, Gare","A=1@O=Kautenbach, Gare@X=6022089@Y=49948625@U=82@L=120603003@",6
"Siebenaler, Bei der Kierch","A=1@O=Siebenaler, Bei der Kierch@X=6025146@Y=50009670@U=82@L=110116002@",32
"Consthum, Ennescht Duerf","A=1@O=Consthum, Ennescht Duerf@X=6050019@Y=49972302@U=82@L=110404001@",32
"Bockholtz (Parc Hosingen), Kiirch","A=1@O=Bockholtz (Parc Hosingen), Kiirch@X=6050756@Y=50011567@U=82@L=110411001@",32
"Consthum, Knupp","A=1@O=Consthum, Knupp@X=6052689@Y=49973606@U=82@L=110404003@",32
"Schlindermanderscheid, Um Friedbësch","A=1@O=Schlindermanderscheid, Um Friedbësch@X=6055772@Y=49951546@U=82@L=140309004@",32
"Consthum, Kémel","A=1@O=Consthum, Kémel@X=6057768@Y=49972410@U=82@L=110404004@",32
"Consthum, Wollefswee","A=1@O=Consthum, Wollefswee@X=6058199@Y=49972374@U=82@L=110404002@",32
"Neidhausen, Kiirch","A=1@O=Neidhausen, Kiirch@X=6066137@Y=50028916@U=82@L=110405001@",32
"Bertrange, Spatzwiss","A=1@O=Bertrange, Spatzwiss@X=6068779@Y=49610702@U=82@L=200102005@",32
"Leudelange, Stiédswee","A=1@O=Leudelange, Stiédswee@X=6069013@Y=49568920@U=82@L=220701015@",32
"Bertrange, Automobile Club","A=1@O=Bertrange, Automobile Club@X=6069211@Y=49601299@U=82@L=200102001@",32
"Leudelange, Op der Strooss","A=1@O=Leudelange, Op der Strooss@X=6069750@Y=49563347@U=82@L=220701011@",32
"Bertrange, Richterwee","A=1@O=Bertrange, Richterwee@X=6070137@Y=49607331@U=82@L=200101014@",32
"Strassen, Barblé","A=1@O=Strassen, Barblé@X=6070586@Y=49620455@U=82@L=200901004@",32
"Strassen, Grande-Duchesse Charlotte","A=1@O=Strassen, Grande-Duchesse Charlotte@X=6072186@Y=49619125@U=82@L=200901013@",32
"Helfenterbréck, Pletzer","A=1@O=Helfenterbréck, Pletzer@X=6075387@Y=49603601@U=82@L=200102003@",32
"Bertrange, Fleuri","A=1@O=Bertrange, Fleuri@X=6076052@Y=49605138@U=82@L=200101006@",32
"Strassen, Les Thermes","A=1@O=Strassen, Les Thermes@X=6076312@Y=49612275@U=82@L=200901033@",32
"Strassen, Benelux","A=1@O=Strassen, Benelux@X=6076330@Y=49619628@U=82@L=200901020@",32
"Leudelange, LaLux","A=1@O=Leudelange, LaLux@X=6076690@Y=49566394@U=82@L=220701020@",32
"Strassen, Cité Pescher Lilas","A=1@O=Strassen, Cité Pescher Lilas@X=6077265@Y=49622029@U=82@L=200901038@",32
"Strassen, Cité Pescher Lavandes","A=1@O=Strassen, Cité Pescher Lavandes@X=6077939@Y=49623503@U=82@L=200901039@",32
"Bertrange, Helfenterbrück","A=1@O=Bertrange, Helfenterbrück@X=6078038@Y=49603673@U=82@L=200102004@",32
"Strassen, Kiem","A=1@O=Strassen, Kiem@X=6078065@Y=49618568@U=82@L=200901018@",32
"Strassen, Cité Pescher","A=1@O=Strassen, Cité Pescher@X=6078461@Y=49621157@U=82@L=200901035@",32
"Strassen, Atrium","A=1@O=Strassen, Atrium@X=6079072@Y=49608509@U=82@L=200901002@",32
"Leudelange, Schaefert","A=1@O=Leudelange, Schaefert@X=6079620@Y=49572354@U=82@L=220701019@",32
"Leudelange, Edeleck","A=1@O=Leudelange, Edeleck@X=6079764@Y=49565648@U=82@L=220701003@",32
"Strassen, Bourmicht","A=1@O=Strassen, Bourmicht@X=6079917@Y=49610765@U=82@L=200901007@",32
"Strassen, Aurélia","A=1@O=Strassen, Aurélia@X=6080654@Y=49619008@U=82@L=200901003@",32
"Strassen, Oricher-Hoehl","A=1@O=Strassen, Oricher-Hoehl@X=6080969@Y=49621705@U=82@L=200901009@",32
"Leudelange, Foyer","A=1@O=Leudelange, Foyer@X=6081337@Y=49569585@U=82@L=220701018@",32
"Strassen, Réimerwee","A=1@O=Strassen, Réimerwee@X=6082191@Y=49617813@U=82@L=200901025@",32
"Bridel, Stuff","A=1@O=Bridel, Stuff@X=6083378@Y=49652853@U=82@L=190801004@",32
"Bridel, Schanz","A=1@O=Bridel, Schanz@X=6084457@Y=49648915@U=82@L=190801003@",32
"Merl, Op der Millen","A=1@O=Merl, Op der Millen@X=6084960@Y=49603448@U=82@L=200420010@",32
"Strassen, Michel Angelo","A=1@O=Strassen, Michel Angelo@X=6086911@Y=49616680@U=82@L=200901022@",32
"Strassen, Hondseck","A=1@O=Strassen, Hondseck@X=6087558@Y=49618019@U=82@L=200901014@",32
"Strassen, Schafsstrachen","A=1@O=Strassen, Schafsstrachen@X=6088457@Y=49620608@U=82@L=200901034@",32
"Merl, Plak","A=1@O=Merl, Plak@X=6089248@Y=49603034@U=82@L=200420013@",32
"Strassen, Les Aubépines","A=1@O=Strassen, Les Aubépines@X=6090336@Y=49616033@U=82@L=200901019@",32
"Leudelange, Grasbësch","A=1@O=Leudelange, Grasbësch@X=6091351@Y=49577056@U=82@L=220701007@",32
"Strassen, Kaltacht","A=1@O=Strassen, Kaltacht@X=6091378@Y=49619880@U=82@L=200901006@",32
"Strassen, Huorgarten","A=1@O=Strassen, Huorgarten@X=6091945@Y=49617381@U=82@L=200901015@",32
"Reckenthal, Gäertnerei","A=1@O=Reckenthal, Gäertnerei@X=6092529@Y=49624707@U=82@L=200425002@",32
"Merl, St.Hubert","A=1@O=Merl, St.Hubert@X=6093005@Y=49603996@U=82@L=200420014@",32
"Strassen, Primeurs","A=1@O=Strassen, Primeurs@X=6093985@Y=49620078@U=82@L=200901024@",32
"Cessange, Boy Konen","A=1@O=Cessange, Boy Konen@X=6094030@Y=49580373@U=82@L=200407005@",32
"Merl, Celtes","A=1@O=Merl, Celtes@X=6094605@Y=49601641@U=82@L=200420003@",32
"Merl, St. Gengoul","A=1@O=Merl, St. Gengoul@X=6094758@Y=49602657@U=82@L=200420015@",32
"Belair, Rue de l'Ouest","A=1@O=Belair, Rue de l'Ouest@X=6094767@Y=49615206@U=82@L=200403016@",32
"Merl, Barrière","A=1@O=Merl, Barrière@X=6097203@Y=49602261@U=82@L=200420002@",32
"Strassen, Pl. Thomas Edison LTPS2","A=1@O=Strassen, Pl. Thomas Edison LTPS2@X=6097221@Y=49620797@U=82@L=200405055@",32
"Cessange, Rue de Leudelange","A=1@O=Cessange, Rue de Leudelange@X=6097311@Y=49582009@U=82@L=200407010@",32
"Belair, Kannerklinick/Maternité","A=1@O=Belair, Kannerklinick/Maternité@X=6097545@Y=49617938@U=82@L=200403009@",32
"Belair, Val Ste Croix","A=1@O=Belair, Val Ste Croix@X=6097590@Y=49612302@U=82@L=200403019@",32
"Merl, Laang Heck","A=1@O=Merl, Laang Heck@X=6097797@Y=49605237@U=82@L=200420008@",32
"Bridel, Biirgerkräiz","A=1@O=Bridel, Biirgerkräiz@X=6097914@Y=49646434@U=82@L=201002001@",32
"Merl, Charlemagne","A=1@O=Merl, Charlemagne@X=6098030@Y=49607817@U=82@L=200420016@",32
"Belair, Aubépines","A=1@O=Belair, Aubépines@X=6098273@Y=49615502@U=82@L=200403003@",32
"Strassen, Steekaul","A=1@O=Strassen, Steekaul@X=6098381@Y=49624150@U=82@L=200901012@",32
"Merl, Kierfecht","A=1@O=Merl, Kierfecht@X=6099091@Y=49609812@U=82@L=200420007@",32
"Cessange, Am Brill","A=1@O=Cessange, Am Brill@X=6099145@Y=49588175@U=82@L=200407014@",32
"Cessange, Am Eck","A=1@O=Cessange, Am Eck@X=6099298@Y=49585793@U=82@L=200407001@",32
"Luxembourg, Centre Hospitalier","A=1@O=Luxembourg, Centre Hospitalier@X=6099756@Y=49618972@U=82@L=200405008@",32
"Cessange, Antoine","A=1@O=Cessange, Antoine@X=6100305@Y=49584022@U=82@L=200407002@",32
"Merl, Marcel Cahen","A=1@O=Merl, Marcel Cahen@X=6101213@Y=49601830@U=82@L=200420009@",32
"Belair, Glaesener-Hartmann","A=1@O=Belair, Glaesener-Hartmann@X=6101878@Y=49611592@U=82@L=200403023@",32
"Merl, Orval","A=1@O=Merl, Orval@X=6102525@Y=49605839@U=82@L=200420011@",32
"Belair, Wandmillen","A=1@O=Belair, Wandmillen@X=6102651@Y=49615844@U=82@L=200403021@",32
"Cessange, Duerf","A=1@O=Cessange, Duerf@X=6103082@Y=49587132@U=82@L=200407006@",32
"Belair, Oradour","A=1@O=Belair, Oradour@X=6103936@Y=49609561@U=82@L=200403012@",32
